energy,xp0,xp1,yp0,yp1,yp2
500,7.61904,0.00705542,7.68358,8.26442e-05,-2.35436e-05
1000,9.84448,0.00476633,9.85678,-0.000641187,-7.83977e-06
2000,10.6694,0.00424422,10.6791,0.000134362,-1.42913e-06
1000,9.84448,0.00476633,9.85678,-0.000641187,-7.83977e-06
3000,10.902,0.00580823,10.7998,-0.000183595,1.279e-05
4000,10.9523,0.00511675,10.9356,-0.000334526,-9.12267e-07
5000,11.1126,0.00453355,11.0124,8.11234e-05,1.29421e-05
6000,11.0563,0.00719545,11.0066,0.000110291,4.91498e-06
7000,11.3055,0.00669282,11.1802,0.000123959,1.57476e-05
8000,11.1125,0.00717593,10.9525,-0.000299558,2.83419e-05
9000,11.2697,0.00621689,11.1181,-0.000846437,2.12847e-05
10000,11.2074,0.00588017,11.126,-0.0010563,1.76701e-05
11000,11.2681,0.00494686,11.1262,0.000572583,2.20093e-05
