energy,xp0,xp1,yp0,yp1,yp2
5,0.00186854,-6.27248e-07,0.000318276,3.09224e-07,1.11394e-07
10,0.0102587,-1.50709e-05,0.0182153,2.54559e-05,-1.01119e-06
50,0.617914,0.00109035,0.734966,-0.000662327,-2.13036e-05
100,2.40497,0.00304654,2.52607,-0.000402899,-2.82908e-05
500,17.2653,0.0150206,17.7501,-0.00199242,-0.000123669
1000,35.8243,0.0354252,36.7149,-0.00443617,-0.000235146
2000,71.2615,0.0664176,73.2177,-0.0101103,-0.000481341
1000,35.8243,0.0354252,36.7149,-0.00443617,-0.000235146
3000,105.66,0.102495,107.507,-0.00432239,-0.000539539
4000,138.983,0.129233,141.393,-0.00765265,-0.000714903
5000,170.902,0.156594,174.967,-0.0165793,-0.00102413
6000,202.591,0.195464,206.781,-0.0185614,-0.00107666
7000,233.861,0.214678,238.794,-0.0255901,-0.00132374
8000,265.736,0.253171,270.522,-0.021348,-0.001311
9000,295.394,0.2864,301.713,-0.0221357,-0.00161815
10000,324.714,0.318387,331.45,-0.0336423,-0.00174544
11000,354.866,0.339425,362.352,-0.00987083,-0.0018857
