energy,xp0,xp1,yp0,yp1,yp2
500,5.39623,0.00672054,5.5963,-0.000690162,-4.39051e-05
1000,8.70975,0.00426233,8.69977,0.000156259,-7.83212e-06
2000,10.7281,0.00291869,10.8914,0.000375828,-4.35732e-05
1000,8.70975,0.00426233,8.69977,0.000156259,-7.83212e-06
3000,12.4285,0.00493266,12.6518,0.000701055,-4.96781e-05
4000,14.5609,-0.000216201,15.0292,-0.00106373,-0.000120579
5000,17.187,0.00532813,17.9249,0.000601087,-0.000154178
6000,21.536,0.00222366,21.9014,-0.00511615,-0.000135389
7000,23.5107,0.015075,23.7392,-0.00262259,-6.06112e-05
8000,25.8184,0.015339,26.8405,-0.00330766,-0.000222387
9000,28.3697,0.0249847,28.6818,0.0040931,-0.000111408
10000,29.5291,0.0173609,29.3689,-0.00523963,-4.497e-05
11000,30.8697,0.0487093,31.7276,0.00668593,-0.000143964
